"PLAYER_NAME","Defender_Cluster"
"Brook Lopez","3"
"Hassan Whiteside","3"
"Pau Gasol","3"
"DeMarcus Cousins","3"
"Marcin Gortat","3"
"Karl-Anthony Towns","3"
"Andre Drummond","3"
"DeAndre Jordan","3"
"Al Horford","3"
"Nikola Vučević","3"
"Serge Ibaka","3"
"Jahlil Okafor","3"
"Robin Lopez","3"
"Rudy Gobert","3"
"Derrick Favors","3"
"Marc Gasol","3"
"Draymond Green","3"
"Nerlens Noel","3"
"Jonas Valančiūnas","3"
"Greg Monroe","3"
"Mason Plumlee","3"
"Kristaps Porziņģis","3"
"Anthony Davis","3"
"Kevin Love","3"
"Steven Adams","3"
"Myles Turner","3"
"Zaza Pachulia","3"
"Paul Millsap","3"
"Dwight Howard","3"
"Roy Hibbert","3"
"Tristan Thompson","3"
"Tim Duncan","3"
"Gorgui Dieng","3"
"Ian Mahinmi","3"
"Bismack Biyombo","3"
"Dirk Nowitzki","3"
"Alex Len","3"
"Jordan Hill","3"
"Andrew Bogut","3"
"Clint Capela","3"
"Festus Ezeli","3"
"LaMarcus Aldridge","3"
"Jared Sullinger","3"
"Amir Johnson","3"
"Giannis Antetokounmpo","3"
"Thaddeus Young","2"
"Cody Zeller","3"
"Enes Freedom","3"
"Nikola Jokić","3"
"Kosta Koufos","3"
"Julius Randle","2"
"Ryan Anderson","2"
"Timofey Mozgov","3"
"Blake Griffin","3"
"Chris Bosh","3"
"Zach Randolph","2"
"Ed Davis","3"
"Tyson Chandler","3"
"Kenneth Faried","2"
"Al Jefferson","1"
"John Henson","3"
"Jon Leuer","1"
"Aron Baynes","1"
"Taj Gibson","3"
"Luol Deng","2"
"Jusuf Nurkić","1"
"James Harden","2"
"Jerami Grant","3"
"Rudy Gay","2"
"Marvin Williams","3"
"Jared Dudley","2"
"Nene","5"
"Jeff Withey","1"
"Omer Asik","1"
"Ersan Ilyasova","2"
"Nikola Mirotic","2"
"Miles Plumlee","1"
"Kelly Olynyk","2"
"Joakim Noah","2"
"Cole Aldrich","1"
"Meyers Leonard","2"
"Darrell Arthur","1"
"Andrew Wiggins","2"
"Terrence Jones","5"
"Spencer Hawes","1"
"Jimmy Butler III","2"
"Eric Bledsoe","2"
"Mirza Teletovic","2"
"Tobias Harris","2"
"Brandon Bass","1"
"Jabari Parker","2"
"David Lee","1"
"Markieff Morris","2"
"Frank Kaminsky","2"
"Nemanja Bjelica","2"
"Harrison Barnes","2"
"David West","1"
"Kevin Durant","2"
"Willie Cauley-Stein","2"
"Joffrey Lauvergne","1"
"Tiago Splitter","1"
"Dewayne Dedmon","1"
"Amar'e Stoudemire","1"
"Alexis Ajinca","5"
"Reggie Jackson","2"
"Kyle Korver","2"
"Ish Smith","2"
"Tyler Zeller","5"
"Jason Smith","1"
"Danny Green","2"
"Jeff Green","2"
"Victor Oladipo","2"
"Klay Thompson","2"
"Paul George","2"
"Rondae Hollis-Jefferson","2"
"Josh Smith","1"
"Michael Carter-Williams","2"
"Kyle O'Quinn","1"
"Lavoy Allen","1"
"Justise Winslow","2"
"Omri Casspi","2"
"Salah Mejri","1"
"Al-Farouq Aminu","2"
"D'Angelo Russell","2"
"Will Barton","2"
"Mike Muscala","5"
"Chris Andersen","4"
"Kris Humphries","1"
"Evan Turner","2"
"Robert Covington","2"
"Jordan Clarkson","2"
