"PLAYER_NAME","FGM_LT_10_10FT","FGA_LT_10_10FT","LT_10_PCT_10FT","NS_LT_10_PCT_10FT","PLUSMINUS_10FT","FGM_GT_15_15FT","FGA_GT_15_15FT","NS_GT_15_PCT_15FT","PLUSMINUS_15FT","FG2M_2P","FG2A_2P","FG2_PCT_2P","NS_FG2_PCT_2P","PLUSMINUS_2P","FGM_LT_06_6FT","FGA_LT_06_6FT","LT_06_PCT_6FT","NS_LT_06_PCT_6FT","PLUSMINUS_6FT","FG3M_3P","FG3A_3P","FG3_PCT_3P","NS_FG3_PCT_3P","PLUSMINUS_3P","D_FGM_OVERALL","D_FGA_OVERALL","D_FG_PCT_OVERALL","NORMAL_FG_PCT_OVERALL","PCT_PLUSMINUS_OVERALL"
"Brook Lopez",4.99,10.27,0.485,0.553,-0.068,1.53,3.74,0.38,0.03,6.38,13.79,0.463,0.505,-0.042,4.11,7.89,0.521,0.603,-0.082,0.52,1.33,0.392,0.337,0.055,6.9,15.12,0.457,0.479,-0.023
"Hassan Whiteside",5.03,10.11,0.497,0.55,-0.053,1.01,3.07,0.386,-0.056,6.44,13.6,0.473,0.503,-0.029,3.89,7.63,0.51,0.597,-0.087,0.25,0.86,0.286,0.351,-0.066,6.68,14.47,0.462,0.478,-0.016
"Pau Gasol",4.43,9.6,0.462,0.557,-0.096,1.44,3.42,0.381,0.042,6.03,13.26,0.454,0.508,-0.053,3.71,7.42,0.5,0.608,-0.108,0.31,0.97,0.314,0.336,-0.021,6.33,14.24,0.445,0.484,-0.039
"DeMarcus Cousins",4.83,9.56,0.505,0.544,-0.039,2.39,5.91,0.379,0.025,6.55,13.95,0.469,0.496,-0.027,3.86,7.14,0.54,0.595,-0.054,1.14,2.89,0.395,0.352,0.043,7.69,16.84,0.456,0.464,-0.008
"Marcin Gortat",4.51,9,0.501,0.554,-0.053,1.67,4.41,0.38,-0.003,6.35,13.33,0.476,0.502,-0.026,3.63,6.6,0.549,0.603,-0.053,0.67,1.76,0.379,0.354,0.025,7.01,15.09,0.465,0.474,-0.009
"Karl-Anthony Towns",4.65,8.87,0.524,0.551,-0.026,1.43,3.68,0.382,0.005,5.63,11.49,0.49,0.505,-0.014,3.84,6.83,0.563,0.601,-0.039,0.74,1.91,0.389,0.362,0.026,6.38,13.4,0.476,0.474,0.002
"Andre Drummond",4.62,8.64,0.534,0.555,-0.02,1.73,3.69,0.39,0.078,6.37,12.54,0.508,0.508,0,3.79,6.7,0.565,0.602,-0.037,0.52,1.17,0.442,0.34,0.102,6.89,13.72,0.502,0.486,0.016
"DeAndre Jordan",4.09,8.47,0.483,0.545,-0.061,1.81,5.04,0.382,-0.024,5.68,12.86,0.441,0.497,-0.056,3.25,6.26,0.519,0.592,-0.073,0.64,1.95,0.327,0.354,-0.028,6.31,14.81,0.426,0.47,-0.044
"Al Horford",4.17,8.45,0.494,0.547,-0.053,1.6,4.32,0.382,-0.012,5.6,12.05,0.465,0.497,-0.033,3.37,6.33,0.532,0.595,-0.063,0.61,1.79,0.34,0.353,-0.012,6.21,13.84,0.448,0.469,-0.021
"Nikola Vučević",4.36,8.42,0.518,0.552,-0.034,1.08,2.92,0.388,-0.019,5.53,11.59,0.477,0.501,-0.024,3.56,6.17,0.577,0.6,-0.023,0.27,0.89,0.298,0.354,-0.056,5.8,12.48,0.464,0.479,-0.015
"Serge Ibaka",4.31,8.4,0.513,0.544,-0.031,2.29,6.27,0.37,-0.004,5.74,12.06,0.476,0.495,-0.019,3.73,6.91,0.54,0.593,-0.053,1.21,3.36,0.359,0.349,0.01,6.95,15.42,0.451,0.46,-0.009
"Jahlil Okafor",4.28,8.4,0.51,0.551,-0.041,1.87,4.49,0.388,0.028,6.09,12.17,0.501,0.504,-0.003,3.57,6.51,0.548,0.597,-0.049,0.62,1.7,0.367,0.338,0.029,6.72,13.87,0.484,0.479,0.006
"Robin Lopez",3.93,8.22,0.478,0.55,-0.072,1.73,3.67,0.379,0.093,5.74,11.94,0.481,0.501,-0.02,3.16,6.44,0.491,0.599,-0.109,0.43,1.12,0.38,0.342,0.039,6.17,13.06,0.472,0.478,-0.006
"Rudy Gobert",3.79,8.07,0.47,0.549,-0.08,1.18,3.18,0.377,-0.006,4.85,10.8,0.449,0.501,-0.052,3.03,6.18,0.491,0.595,-0.104,0.49,1.36,0.361,0.35,0.011,5.34,12.16,0.439,0.474,-0.035
"Derrick Favors",3.79,8.06,0.47,0.554,-0.084,2.1,4.97,0.376,0.046,5.24,11.34,0.462,0.503,-0.041,3.06,6.06,0.505,0.602,-0.097,0.97,2.45,0.395,0.347,0.048,6.21,13.79,0.45,0.472,-0.022
"Marc Gasol",3.65,7.69,0.475,0.55,-0.075,1.23,3.35,0.376,-0.008,4.88,10.75,0.454,0.505,-0.05,3.23,6.12,0.528,0.601,-0.073,0.42,1.31,0.324,0.342,-0.018,5.31,12.06,0.44,0.478,-0.037
"Draymond Green",3.54,7.59,0.467,0.548,-0.082,2.52,7.31,0.365,-0.021,5.27,12.17,0.433,0.491,-0.058,2.89,5.62,0.514,0.597,-0.083,1.25,4.26,0.293,0.345,-0.053,6.52,16.43,0.397,0.455,-0.058
"Nerlens Noel",3.85,7.55,0.51,0.557,-0.047,1.67,4.09,0.375,0.034,5.1,10.48,0.487,0.505,-0.018,3.33,6.43,0.517,0.603,-0.086,0.79,1.97,0.402,0.352,0.05,5.9,12.45,0.474,0.475,-0.001
"Jonas Valančiūnas",3.9,7.53,0.518,0.551,-0.033,1.31,3.29,0.381,0.016,5.14,10.64,0.482,0.499,-0.017,3.25,5.83,0.558,0.598,-0.04,0.47,1.15,0.412,0.352,0.06,5.61,11.8,0.476,0.474,0.002
"Greg Monroe",4.05,7.49,0.541,0.552,-0.011,1.18,3.06,0.381,0.003,5.16,10.19,0.507,0.502,0.005,3.53,5.99,0.59,0.6,-0.01,0.46,1.15,0.396,0.349,0.046,5.62,11.34,0.496,0.474,0.021
"Mason Plumlee",4.04,7.49,0.539,0.557,-0.018,1.1,2.62,0.384,0.035,5.23,9.98,0.524,0.51,0.015,3.22,5.85,0.55,0.605,-0.055,0.24,0.87,0.282,0.342,-0.06,5.48,10.84,0.505,0.485,0.02
"Kristaps Porziņģis",3.61,7.47,0.483,0.55,-0.067,1.89,5.5,0.375,-0.032,4.85,10.83,0.447,0.5,-0.052,3.08,6.07,0.508,0.6,-0.091,0.83,2.74,0.305,0.353,-0.049,5.68,13.57,0.419,0.465,-0.046
"Anthony Davis",3.87,7.46,0.519,0.553,-0.035,2.21,6.41,0.38,-0.034,5.2,11.26,0.461,0.501,-0.04,3,5.38,0.558,0.597,-0.039,1.21,3.56,0.341,0.356,-0.015,6.41,14.82,0.433,0.466,-0.034
"Kevin Love",4.27,7.42,0.576,0.549,0.028,1.99,4.86,0.376,0.033,5.77,10.92,0.528,0.496,0.031,3.21,5.08,0.632,0.599,0.032,0.91,2.43,0.374,0.358,0.017,6.68,13.35,0.5,0.465,0.035
"Steven Adams",3.48,7.35,0.473,0.549,-0.077,1.65,4.93,0.379,-0.044,4.85,11.13,0.436,0.502,-0.066,2.93,5.4,0.542,0.601,-0.059,0.68,2.08,0.325,0.355,-0.03,5.53,13.2,0.419,0.472,-0.053
"Myles Turner",3.75,7.35,0.51,0.545,-0.035,1.17,3.47,0.375,-0.038,4.47,9.48,0.471,0.496,-0.025,3.07,5.9,0.52,0.594,-0.074,0.7,2.02,0.347,0.346,0.002,5.17,11.5,0.449,0.464,-0.014
"Zaza Pachulia",4.08,7.32,0.558,0.546,0.012,1.18,3.38,0.382,-0.032,5.43,10.55,0.515,0.5,0.015,3.39,5.66,0.6,0.593,0.007,0.28,1.07,0.259,0.343,-0.084,5.71,11.62,0.492,0.477,0.015
"Paul Millsap",3.81,7.3,0.523,0.553,-0.03,2.11,5.49,0.371,0.013,5.07,10.32,0.492,0.498,-0.006,3.2,5.84,0.548,0.603,-0.055,1.19,3.28,0.361,0.353,0.008,6.26,13.6,0.46,0.463,-0.003
"Dwight Howard",3.91,7.14,0.548,0.546,0.002,1.36,3.57,0.383,-0.003,5.3,10.73,0.494,0.494,0,3.26,5.53,0.589,0.596,-0.007,0.44,1.36,0.326,0.352,-0.025,5.74,12.09,0.475,0.467,0.008
"Roy Hibbert",3.74,7.07,0.529,0.556,-0.027,1.28,3.09,0.386,0.03,5.02,9.89,0.508,0.505,0.003,3.1,5.28,0.586,0.603,-0.017,0.49,1.27,0.388,0.361,0.028,5.52,11.16,0.494,0.477,0.017
"Tristan Thompson",3.59,7.06,0.509,0.543,-0.034,1.57,4.25,0.373,-0.004,5.05,10.43,0.484,0.492,-0.008,2.86,5.1,0.562,0.594,-0.032,0.65,2.1,0.312,0.351,-0.039,5.7,12.53,0.455,0.462,-0.007
"Tim Duncan",3.2,7,0.457,0.543,-0.087,1.16,3.05,0.373,0.009,4.57,10.51,0.435,0.499,-0.064,2.61,5.26,0.495,0.593,-0.097,0.3,0.75,0.391,0.347,0.044,4.87,11.26,0.432,0.474,-0.041
"Gorgui Dieng",3.76,6.72,0.559,0.549,0.01,1.27,3.2,0.382,0.015,4.8,9.21,0.522,0.501,0.021,3.18,5.34,0.596,0.598,-0.002,0.5,1.44,0.347,0.349,-0.001,5.3,10.65,0.498,0.471,0.027
"Ian Mahinmi",3.51,6.69,0.524,0.546,-0.022,1.18,2.99,0.389,0.007,4.68,9.42,0.496,0.495,0.001,2.9,5.11,0.567,0.598,-0.031,0.49,1.28,0.385,0.348,0.037,5.17,10.7,0.483,0.467,0.016
"Bismack Biyombo",2.99,6.63,0.451,0.544,-0.093,0.99,2.42,0.374,0.034,3.86,8.69,0.445,0.493,-0.049,2.48,5.16,0.481,0.591,-0.111,0.38,1.15,0.333,0.346,-0.013,4.25,9.84,0.432,0.464,-0.032
"Dirk Nowitzki",3.45,6.61,0.522,0.544,-0.022,2.27,5.72,0.373,0.023,5.07,10.08,0.503,0.496,0.007,2.93,5.24,0.56,0.593,-0.034,1.13,3.31,0.343,0.354,-0.011,6.2,13.39,0.463,0.46,0.003
"Alex Len",3.35,6.55,0.512,0.55,-0.039,1.22,3.27,0.372,0.001,4.49,9.27,0.485,0.502,-0.017,2.74,4.78,0.573,0.597,-0.024,0.43,1.31,0.327,0.329,-0.002,4.92,10.58,0.465,0.472,-0.007
"Jordan Hill",3.44,6.38,0.539,0.548,-0.009,1.22,3.04,0.377,0.024,4.53,8.73,0.52,0.501,0.019,2.67,4.6,0.58,0.594,-0.014,0.49,1.48,0.333,0.348,-0.015,5.03,10.21,0.493,0.47,0.023
"Andrew Bogut",3.04,6.34,0.48,0.548,-0.068,1,2.64,0.377,0.001,4.11,9.17,0.449,0.499,-0.051,2.5,4.9,0.51,0.6,-0.09,0.27,0.81,0.333,0.339,-0.005,4.39,9.99,0.439,0.472,-0.033
"Clint Capela",3.09,6.27,0.493,0.543,-0.05,1.08,3.13,0.374,-0.029,3.94,8.43,0.467,0.495,-0.028,2.61,4.88,0.535,0.592,-0.057,0.52,1.65,0.315,0.349,-0.035,4.45,10.08,0.442,0.466,-0.024
"Festus Ezeli",2.98,6.26,0.476,0.543,-0.067,0.74,2.28,0.375,-0.051,3.78,8.48,0.446,0.494,-0.047,2.37,4.61,0.514,0.59,-0.076,0.17,0.65,0.267,0.35,-0.084,3.96,9.13,0.433,0.471,-0.037
"LaMarcus Aldridge",3.15,6.18,0.51,0.548,-0.038,2.03,5.38,0.369,0.008,4.78,10.3,0.465,0.493,-0.029,2.55,4.42,0.578,0.596,-0.018,0.86,2.42,0.358,0.348,0.01,5.65,12.72,0.444,0.462,-0.018
"Jared Sullinger",3.3,6.16,0.535,0.552,-0.016,1.09,2.99,0.37,-0.006,4.35,9.06,0.48,0.502,-0.022,2.49,4.35,0.572,0.6,-0.028,0.43,1.08,0.395,0.339,0.057,4.78,10.14,0.471,0.476,-0.005
"Amir Johnson",2.91,6.1,0.477,0.547,-0.07,1.56,3.53,0.374,0.07,4.12,8.81,0.467,0.497,-0.03,2.47,4.68,0.529,0.596,-0.068,0.76,1.79,0.421,0.355,0.066,4.87,10.6,0.459,0.465,-0.006
"Giannis Antetokounmpo",3.01,6.03,0.5,0.55,-0.05,2.21,5.61,0.371,0.023,3.96,8.36,0.474,0.497,-0.023,2.61,4.86,0.537,0.6,-0.063,1.59,4.05,0.392,0.354,0.038,5.55,12.41,0.447,0.455,-0.008
"Thaddeus Young",3.49,5.86,0.596,0.55,0.045,1.84,5.38,0.371,-0.03,4.78,8.86,0.539,0.497,0.043,2.9,4.63,0.627,0.599,0.028,1.08,3.48,0.311,0.354,-0.043,5.86,12.34,0.475,0.459,0.016
"Cody Zeller",2.93,5.85,0.501,0.553,-0.052,1.05,2.67,0.385,0.01,3.85,8.08,0.476,0.504,-0.028,2.38,4.3,0.554,0.6,-0.046,0.45,1.18,0.384,0.347,0.037,4.3,9.26,0.464,0.477,-0.012
"Enes Freedom",3.04,5.85,0.519,0.547,-0.028,1.12,2.85,0.377,0.016,3.96,8.3,0.477,0.496,-0.019,2.41,4.23,0.571,0.597,-0.026,0.44,1.15,0.383,0.357,0.026,4.4,9.45,0.466,0.467,-0.001
"Nikola Jokić",2.9,5.84,0.497,0.553,-0.056,1.28,3.19,0.382,0.019,4.04,8.46,0.478,0.504,-0.027,2.47,4.7,0.526,0.601,-0.075,0.49,1.23,0.402,0.344,0.058,4.53,9.68,0.468,0.476,-0.008
"Kosta Koufos",2.84,5.84,0.487,0.545,-0.059,1.27,2.82,0.381,0.071,3.9,8.06,0.483,0.498,-0.015,2.19,4.13,0.531,0.598,-0.066,0.55,1.35,0.404,0.357,0.047,4.44,9.42,0.472,0.466,0.006
