"Player","Primary_Creator","Spacer","Mid-Interior","Rim_Center"
"James Harden",0.999999993340961,3.91846331540119e-28,6.65903915372708e-09,0
"Gordon Hayward",0.999665250133329,5.36313664467878e-06,0.000329386730025926,0
"Kemba Walker",0.999999875398508,1.09453031325848e-18,1.24601492326684e-07,0
"Trevor Ariza",0.000116230948792641,0.999883769032813,1.83947857589509e-11,0
"Marcus Morris",0.457219630027292,0.538523251908739,0.00425711806396829,0
"Khris Middleton",0.831575493637457,0.154656192103754,0.0137683142587893,0
"Kyle Lowry",0.999999992612887,1.30589523437954e-12,7.38580699084213e-09,0
"Andrew Wiggins",0.0210635947526515,1.92571075329626e-05,0.978917148139816,2.42303541952732e-142
"Giannis Antetokounmpo",0.00560064626615671,8.7055834622097e-05,0.994312297899221,3.97459677370898e-75
"Paul George",0.999996852741135,2.52889930550271e-11,3.14723357564855e-06,0
"Draymond Green",0.00349462212075256,0.983071325392779,0.0134340524864688,0
"DeMar DeRozan",0.805393471947055,6.82824659836225e-07,0.194605845228285,5.87941086951085e-70
"Kentavious Caldwell-Pope",0.60841086227998,0.388866757335944,0.0027223803840763,0
"John Wall",0.999945957622024,9.74389300180196e-14,5.40423778788496e-05,0
"CJ McCollum",0.999998113032645,6.72012679892354e-10,1.88629534205746e-06,0
"Russell Westbrook",0.999998832872883,3.24295664005948e-38,1.16712711723108e-06,0
"Monta Ellis",0.999665826002683,1.60793361134989e-08,0.000334157917980924,0
"LeBron James",0.99047115234879,1.18023883081415e-18,0.00952884765121021,1.51528433218337e-266
"Joe Johnson",0.889275197012692,0.110690046837994,3.47561493141829e-05,0
"Stephen Curry",0.999999999690012,2.05942350430034e-22,3.09987875582331e-10,0
"Damian Lillard",0.999999999750132,5.66054191690667e-32,2.49867589882604e-10,0
"Andre Drummond",3.1034252109878e-06,1.48233303476476e-109,6.58008753345504e-15,0.999996896574782
"Klay Thompson",0.000240673795628212,0.999746384303003,1.29419013692139e-05,0
"Paul Millsap",0.00117601488100694,0.0709211479128045,0.927902837206188,0
"Isaiah Thomas",0.999990243608309,5.48139618623362e-15,9.75639168548869e-06,0
"Wesley Matthews",0.101418817996322,0.898581182000315,3.36317408794863e-12,0
"Al Horford",3.02513453741435e-06,0.970520427118064,0.0294765477473991,0
"Karl-Anthony Towns",5.11094899562427e-05,0.0100732814355509,0.989875609074493,3.23897677665283e-36
"DeAndre Jordan",3.88979561368375e-28,5.63218387188268e-26,1.16237140164329e-11,0.999999999988376
"Kevin Durant",0.996624957989843,2.87538477466847e-13,0.00337504200986975,0
"Evan Fournier",0.481298442845576,0.518535643411088,0.00016591374333595,0
"Jordan Clarkson",0.999860799810631,1.43774491750757e-06,0.000137762444451513,0
"Rodney Hood",0.999999387640031,5.70379836226572e-07,4.19801325028745e-08,0
"P.J. Tucker",0.189156600454013,0.810707302082592,0.000136097463394468,0
"Rajon Rondo",0.999707627812276,4.26970847342468e-09,0.000292367918015376,0
"Avery Bradley",0.000316922621441406,0.999655416124244,2.76612543146386e-05,0
"Carmelo Anthony",0.999391736087139,9.03665654369075e-10,0.000608263009195015,0
"George Hill",0.985281752797921,0.0147126327916769,5.61441040178348e-06,0
"Tobias Harris",0.0119749030308112,0.9242929917818,0.0637321051873888,0
"Serge Ibaka",1.36477548813981e-07,0.906446928221934,0.093552935300517,5.91439313467302e-300
"Jimmy Butler",0.786776817336759,1.1149555499998e-08,0.213223171513686,9.14479917386225e-262
"Brook Lopez",1.21063242061766e-09,4.50981838452248e-08,0.574217050421237,0.425782903269946
"Nicolas Batum",0.998719780031172,0.00126921112349556,1.10088453327577e-05,0
"Gary Harris",0.000456188007780243,0.999490176722137,5.36352700831014e-05,0
"Reggie Jackson",0.999999980549843,1.00075314672755e-38,1.94501570603291e-08,0
"Kevin Love",0.0105020860334333,0.989474914781149,2.29991854178772e-05,0
"Chris Paul",0.999999995091065,9.96631599769614e-48,4.90893464614463e-09,0
"Jabari Parker",6.268485293803e-06,4.72326091217624e-06,0.999988982615344,2.56384495539882e-08
"Thaddeus Young",0.00118501384309339,1.26926798300725e-08,0.99868033528905,0.000134638175176887
"Kyle Korver",1.69910041696111e-09,0.999999998300841,5.83327125763152e-14,0
"Luol Deng",0.000156096645071136,0.99952623377577,0.000317669579158355,0
"Kawhi Leonard",0.337287625876268,0.0529000565938955,0.609812317529836,0
"Victor Oladipo",0.997268511140938,0.000513840980353946,0.00221764787870749,0
"Rudy Gay",0.197584538156079,0.0131791552964028,0.789236306547518,2.80021278075233e-306
"Arron Afflalo",0.0356269893700909,0.960171047343155,0.00420196328675401,0
"Dirk Nowitzki",0.00227958839490298,0.93132805280073,0.0663923588043675,0
"Goran Dragić",0.99608305450425,4.31555677829236e-07,0.00391651394007223,0
"J.R. Smith",0.0179790216063296,0.982020978383375,1.02952345652917e-11,0
"Will Barton",0.999099177942761,0.000122169097195529,0.000778652960043779,0
"Al-Farouq Aminu",0.000757168108989859,0.999242709622258,1.22268752122553e-07,0
"Marvin Williams",6.86234395941767e-05,0.999931366879913,9.68049272087219e-09,0
"Courtney Lee",0.000424785119412643,0.998989901007788,0.000585313872798986,0
"Ricky Rubio",0.938696218013685,0.0612363540338991,6.74279524157462e-05,0
"Greg Monroe",3.15604589495103e-18,4.21395958716586e-16,0.00395404720031725,0.996045952799682
"Jae Crowder",1.63609592743416e-06,0.999995603295469,2.76060860357408e-06,0
"Zach LaVine",0.99953801104972,1.13078525246782e-06,0.000460858165027394,0
"Pau Gasol",0.000135615781965923,0.028299463980181,0.971564920237853,1.25801181994784e-29
"Julius Randle",0.429808027910143,1.56388805947199e-08,0.57019195629595,1.55026211899729e-10
"Dwight Howard",8.46042011924778e-24,1.2145309249411e-20,6.54748471518927e-07,0.999999345251528
"Otto Porter Jr.",3.56743646193008e-05,0.999851211053614,0.000113114581767001,0
"Evan Turner",0.0160805153537111,0.0128668730974401,0.971052611548849,4.81012833176422e-81
"Tristan Thompson",5.70683855441576e-08,3.60500012411788e-06,0.00619697798356898,0.993799359947921
"LaMarcus Aldridge",1.33717863552911e-19,4.03359885822587e-16,0.00957329743904289,0.990426702560957
"D'Angelo Russell",0.999999200138904,1.70350991472357e-10,7.9969074470228e-07,0
"Dwyane Wade",0.000825911614512518,3.92671052627029e-14,0.999174088314801,7.06477236974214e-11
"Marcin Gortat",5.32040759438133e-23,2.35662142242515e-16,0.000345382859865304,0.999654617140134
"Jeff Teague",0.999994139027283,5.44929795909567e-16,5.86097271615898e-06,0
"Jeff Green",0.61462330984312,0.2975749021644,0.0878017879924796,0
"DeMarcus Cousins",0.0188872982375914,1.45852262235208e-05,0.981098116536185,1.14465864670347e-164
"Ish Smith",0.999976791882319,9.32672498878263e-19,2.32081176811755e-05,7.375610716586e-213
"Justise Winslow",0.000907444539606768,0.956160869915983,0.0429316855444101,0
"Gorgui Dieng",6.70278807104713e-07,0.00811510370728572,0.991879767506919,4.45850698800247e-06
"Robin Lopez",1.61604327344995e-18,3.65167146182971e-15,0.00105246882493227,0.998947531175064
"Darren Collison",0.99481519486398,3.62971403558502e-05,0.00514850799566445,0
"Raymond Felton",0.999700143890397,6.23122726912058e-08,0.000299793797330335,0
"Matt Barnes",0.00018180175162537,0.999818193521899,4.72647585101272e-09,0
"Anthony Davis",4.86477870254019e-06,0.000255870460005507,0.999739264761292,6.95255551084522e-58
"Hollis Thompson",4.63367976725307e-05,0.999953663147059,5.52683468740861e-11,0
"Dion Waiters",0.928852237564949,0.0710911977068993,5.65647281520399e-05,0
"Elfrid Payton",0.688898439307953,0.0822116213014471,0.2288899393906,4.03497930078405e-107
"Jamal Crawford",0.999985181621865,1.4902196825006e-08,1.48034759378415e-05,0
"Hassan Whiteside",7.01511636940732e-07,3.53789838544331e-05,0.0531503577202066,0.946813561784302
"Bojan Bogdanović",0.00277470889715422,0.997224225005872,1.06609697373991e-06,0
"Devin Booker",0.994523970015495,0.000310848398140482,0.00516518158636509,0
"Deron Williams",0.999942846708369,3.8864585523849e-05,1.82887061070402e-05,0
"Allen Crabbe",6.37584468750628e-07,0.999993805141666,5.55727386484075e-06,0
"Jared Dudley",4.736644796518e-09,0.999999815938722,1.79324632784123e-07,0
"JJ Redick",7.28397744499835e-07,0.999991397354264,7.87424799137896e-06,0
"Derrick Rose",0.96283825337336,0.00170720460755893,0.0354545420190814,4.3330669854849e-140
"Mason Plumlee",2.93627892788824e-22,5.18139629907182e-19,5.47031907043383e-06,0.99999452968093
"Kent Bazemore",0.00690131337490129,0.993092370030094,6.31659500481091e-06,0
"Emmanuel Mudiay",0.999959903835701,1.56533044528644e-08,4.00805109943919e-05,0
"Jerami Grant",3.0251445253085e-05,0.798896959368678,0.201072789186069,0
"Danny Green",6.93006852853038e-07,0.999999306992923,2.23850243468952e-13,0
"Jeremy Lin",0.999081645525981,0.000155983036918613,0.000762371437100099,0
"Kristaps Porziņģis",0.0383541644144607,0.751911498281843,0.209734337303696,0
"Cory Joseph",0.637684670390484,0.0693826175247692,0.292932712084747,7.04897730779958e-240
"Harrison Barnes",0.000296822566766714,0.998800774843276,0.000902402589957723,0
"Patrick Beverley",0.863890221309251,0.1361097656843,1.30064489174086e-08,0
"Nikola Vučević",2.81868422623245e-05,7.89883940226329e-28,0.00213252866816264,0.997839284489575
"Langston Galloway",0.63112547877138,0.368502216605126,0.00037230462349421,0
"José Calderón",0.3173918217222,0.682606890292477,1.28798532236027e-06,0
"Patrick Patterson",0.00022450663015333,0.999775493369023,8.23807729106174e-13,0
"Zach Randolph",0.000769426584756598,1.76959055965356e-05,0.999206849507926,6.02800172099939e-06
"Steven Adams",4.1245277738455e-09,3.16658222446643e-05,0.0107412766549397,0.989227053398288
"Ryan Anderson",0.647236037141875,0.352609725590466,0.000154237267658792,0
"Zaza Pachulia",6.33623567753391e-22,1.73026090440939e-18,5.62393683647433e-06,0.999994376063163
