"Player","Paint_Anchors","Perimeter Guards","Def_liability","Switch_Wing"
"Brook Lopez",0.999999915296599,3.73520468944096e-26,6.0213062782299e-08,2.44903379560573e-08
"Hassan Whiteside",0.996001460978136,9.57098157708807e-33,0.0039985390218641,9.34348062227976e-17
"Pau Gasol",0.999999878814026,1.65315541253144e-28,1.21075376786706e-07,1.10596770426909e-10
"DeMarcus Cousins",0.999935580515646,2.29442986880195e-13,1.43271372525392e-08,6.44051569869656e-05
"Marcin Gortat",0.999997008544038,2.57068076320311e-18,1.20077882284638e-07,2.8713780798608e-06
"Karl-Anthony Towns",0.999986700893556,2.9900740381832e-17,7.5449202956372e-07,1.25446144147953e-05
"Andre Drummond",0.999994979490896,1.50771307087298e-22,4.62866208985315e-06,3.91847014137791e-07
"DeAndre Jordan",0.999991612944943,5.54660492397307e-15,8.36232099449572e-06,2.47340567689394e-08
"Al Horford",0.999988888570916,1.24863665417827e-16,5.63778020055701e-07,1.05476510636605e-05
"Nikola Vučević",0.999998749084772,2.49842608988561e-25,9.30254175364852e-07,3.20661052568159e-07
"Serge Ibaka",0.999891270545148,8.94515099998956e-12,5.8391238933372e-08,0.00010867105466751
"Jahlil Okafor",0.999964620561397,2.30235253625765e-18,1.89076081980675e-07,3.519036252136e-05
"Robin Lopez",0.999989261173859,6.73453200022825e-22,1.06553465229296e-05,8.34796180779481e-08
"Rudy Gobert",0.999967107388711,1.15036630853376e-17,3.27446584118563e-05,1.47952876749231e-07
"Derrick Favors",0.999644697702377,9.47478971422006e-11,1.0482280666598e-05,0.000344819922208673
"Marc Gasol",0.9999922683207,1.94162433568586e-18,2.5472863314854e-06,5.18439296814342e-06
"Draymond Green",0.993864169564623,0.00336328992396899,1.72604062211218e-05,0.00275528010518713
"Nerlens Noel",0.999873552426327,1.81789850237106e-13,0.000117306652782499,9.1409207089929e-06
"Jonas Valančiūnas",0.99993675109686,6.70616785665529e-18,5.81325475716224e-05,5.11635556825969e-06
"Greg Monroe",0.999854317335566,1.33960338460117e-19,3.76199088744383e-06,0.000141920673546669
"Mason Plumlee",0.998896686995566,9.35510789562739e-23,0.00109609314367578,7.21986075830303e-06
"Kristaps Porziņģis",0.99997711560952,1.03687534027295e-10,1.12690496449757e-05,1.16152371475224e-05
"Anthony Davis",0.999328228161043,1.67480586489519e-05,1.61583498096558e-05,0.000638865430498017
"Kevin Love",0.643286009518368,8.01629801147882e-09,2.0634340732504e-06,0.356711919031261
