Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,James Harden,26,HOU,SG,82,82,3125,11.2,25.4,.439,3.7,10.3,.359,7.5,15.1,.494,.512,11.3,13.2,.860,1.0,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,115,108,MVP-9AS,hardeja01
2,Gordon Hayward,25,UTA,SF,80,80,2893,9.5,21.9,.433,2.6,7.5,.349,6.9,14.4,.477,.493,7.2,8.7,.824,1.1,6.1,7.2,5.4,1.7,0.5,3.7,3.3,28.8,110,105,,haywago01
3,Kemba Walker,25,CHO,PG,81,81,2885,9.9,23.2,.427,3.2,8.5,.371,6.7,14.6,.459,.495,6.5,7.6,.847,1.0,5.2,6.2,7.3,2.2,0.7,3.0,1.9,29.4,112,105,,walkeke02
4,Trevor Ariza,30,HOU,SF,81,81,2859,6.1,14.8,.416,3.2,8.6,.371,3.0,6.2,.478,.523,2.2,2.8,.783,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3.0,17.6,110,108,DPOY-13,arizatr01
5,Marcus Morris,26,DET,SF,80,80,2856,7.2,16.7,.434,1.9,5.3,.362,5.3,11.4,.467,.491,3.6,4.8,.749,1.6,5.5,7.1,3.6,1.2,0.4,2.5,3.0,20.0,107,108,,morrima03
6,Khris Middleton,24,MIL,SG,79,79,2852,9.1,20.4,.444,2.6,6.4,.396,6.5,13.9,.466,.507,4.9,5.6,.888,0.8,4.6,5.4,5.9,2.3,0.3,3.2,3.6,25.6,109,110,,middlkh01
7,Kyle Lowry,29,TOR,PG,77,77,2851,9.3,21.7,.427,3.8,9.9,.388,5.4,11.8,.461,.516,7.2,8.9,.811,1.0,5.6,6.6,9.0,2.9,0.6,4.1,3.8,29.6,115,104,MVP-10DPOY-13ASNBA3,lowryky01
8,Andrew Wiggins,20,MIN,SF,81,81,2845,10.5,22.9,.459,1.0,3.4,.300,9.5,19.6,.486,.481,7.6,10.0,.761,1.9,3.3,5.2,2.9,1.4,0.8,3.2,2.9,29.7,106,113,,wiggian01
9,Giannis Antetokounmpo,21,MIL,PG,80,79,2823,9.3,18.3,.506,0.5,2.0,.257,8.8,16.3,.537,.520,5.3,7.4,.724,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,109,106,,antetgi01
10,Paul George,25,IND,SF,81,81,2819,10.7,25.5,.418,3.7,10.0,.371,7.0,15.6,.447,.490,8.0,9.3,.860,1.4,8.5,9.9,5.8,2.7,0.5,4.7,4.1,33.0,106,101,ASNBA3DEF2,georgpa01
11,Draymond Green,25,GSW,PF,81,81,2808,6.9,14.1,.490,1.7,4.4,.388,5.2,9.7,.537,.551,3.9,5.7,.696,2.3,10.9,13.2,10.3,2.0,1.9,4.5,4.1,19.5,115,100,MVP-7DPOY-2ASNBA2DEF1,greendr01
12,DeMar DeRozan,26,TOR,SG,78,78,2804,11.3,25.4,.446,0.9,2.6,.338,10.4,22.8,.458,.463,10.2,12.0,.850,1.2,5.3,6.4,5.8,1.5,0.4,3.2,3.1,33.7,113,108,AS,derozde01
13,Kentavious Caldwell-Pope,22,DET,SG,76,76,2789,7.3,17.4,.420,2.1,6.7,.309,5.2,10.7,.489,.479,3.3,4.1,.811,1.3,3.8,5.1,2.5,2.0,0.3,1.9,3.0,20.0,107,107,,caldwke01
14,John Wall,25,WAS,PG,77,77,2784,10.0,23.6,.424,2.0,5.7,.351,8.0,17.9,.448,.467,4.8,6.0,.791,0.7,5.9,6.6,13.8,2.5,1.0,5.6,2.8,26.8,102,104,AS,walljo01
15,CJ McCollum,24,POR,SG,80,80,2780,11.5,25.7,.448,3.5,8.5,.417,8.0,17.3,.463,.517,3.4,4.1,.827,0.8,3.8,4.7,6.1,1.7,0.4,3.5,3.4,30.0,108,110,MIP-1,mccolcj01
16,Russell Westbrook,27,OKC,PG,80,80,2750,11.8,26.1,.454,1.8,6.2,.296,10.0,19.9,.503,.489,8.4,10.3,.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,115,103,MVP-4ASNBA1,westbru01
17,Monta Ellis,30,IND,SG,81,81,2734,7.9,18.5,.427,1.6,5.1,.309,6.3,13.4,.472,.470,2.9,3.7,.786,0.8,4.2,4.9,7.0,2.7,0.7,3.7,3.2,20.4,99,103,,ellismo01
18,LeBron James,31,CLE,SF,76,76,2709,14.0,26.9,.520,1.7,5.4,.309,12.3,21.5,.573,.551,6.8,9.3,.731,2.1,8.6,10.7,9.8,2.0,0.9,4.7,2.7,36.5,116,103,MVP-3DPOY-11ASNBA1,jamesle01
19,Joe Johnson,34,2TM,SF,81,81,2703,7.1,16.1,.439,2.2,5.9,.383,4.8,10.2,.471,.509,2.2,2.7,.831,0.9,4.6,5.5,6.0,1.1,0.1,3.0,2.7,18.6,104,113,,johnsjo02
19,Joe Johnson,34,BRK,SF,57,57,1934,6.4,15.8,.406,2.2,6.0,.371,4.2,9.9,.427,.476,2.4,2.8,.852,0.9,5.0,5.8,6.0,1.0,0.1,3.0,2.6,17.5,101,114,,johnsjo02
19,Joe Johnson,34,MIA,SF,24,24,769,8.7,16.7,.518,2.3,5.6,.417,6.3,11.1,.569,.588,1.7,2.3,.765,1.0,3.5,4.5,5.7,1.4,0.1,2.9,3.1,21.4,114,108,,johnsjo02
20,Stephen Curry,27,GSW,PG,79,79,2700,14.4,28.6,.504,7.2,15.9,.454,7.2,12.7,.566,.630,6.5,7.2,.908,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,125,103,MVP-1ASNBA1,curryst01
21,Damian Lillard,25,POR,PG,75,75,2676,11.5,27.5,.419,4.3,11.4,.375,7.3,16.1,.450,.497,7.7,8.7,.892,0.8,4.8,5.6,9.6,1.2,0.5,4.5,3.1,35.1,113,110,MVP-8NBA2,lillada01
22,Andre Drummond,22,DET,C,81,81,2666,10.5,20.1,.521,0.0,0.1,.333,10.4,20.0,.522,.522,3.9,11.1,.355,7.5,15.2,22.7,1.3,2.3,2.1,2.9,4.6,24.9,103,98,DPOY-10ASNBA3,drumman01
23,Klay Thompson,25,GSW,SG,80,80,2666,11.8,25.1,.470,5.0,11.8,.425,6.8,13.3,.510,.569,3.5,4.0,.873,0.6,4.9,5.5,3.0,1.1,0.9,2.5,2.8,32.1,112,107,ASNBA3,thompkl01
24,Paul Millsap,30,ATL,PF,81,81,2647,9.4,19.9,.470,1.4,4.3,.319,8.0,15.6,.512,.505,5.8,7.6,.757,3.7,10.0,13.7,4.9,2.7,2.6,3.6,4.4,25.9,108,96,DPOY-5ASDEF2,millspa01
25,Isaiah Thomas,26,BOS,PG,82,79,2644,10.9,25.5,.428,3.1,8.6,.359,7.8,16.9,.462,.488,8.7,10.0,.871,0.8,3.6,4.5,9.4,1.7,0.2,4.1,3.1,33.6,113,107,AS,thomais02
26,Wesley Matthews,29,DAL,SF,78,78,2644,6.4,16.4,.388,3.6,10.1,.360,2.7,6.3,.432,.498,2.4,2.8,.863,0.5,4.1,4.6,2.9,1.5,0.3,1.5,3.4,18.8,105,109,,matthwe02
27,Al Horford,29,ATL,C,82,82,2631,9.9,19.7,.505,1.7,4.8,.344,8.3,14.9,.557,.547,1.9,2.4,.798,2.8,8.4,11.2,4.9,1.3,2.3,2.0,3.1,23.5,113,101,DPOY-13AS,horfoal01
28,Karl-Anthony Towns,20,MIN,C,82,82,2627,12.0,22.1,.542,0.6,1.7,.341,11.4,20.4,.559,.555,4.3,5.3,.811,4.4,12.1,16.5,3.1,1.1,2.6,3.5,4.7,28.8,112,106,ROY-1,townska01
29,DeAndre Jordan,27,LAC,C,77,77,2598,6.9,9.8,.703,0.0,0.0,.000,6.9,9.8,.704,.703,5.1,11.9,.430,5.1,15.3,20.4,1.7,1.0,3.4,2.1,4.0,18.9,122,98,DPOY-4NBA1DEF1,jordade01
30,Kevin Durant,27,OKC,SF,72,72,2578,13.4,26.6,.505,3.6,9.3,.387,9.9,17.3,.569,.573,8.6,9.6,.898,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,122,104,MVP-5ASNBA2,duranke01
31,Evan Fournier,23,ORL,SF,79,71,2566,8.4,18.1,.462,3.0,7.6,.400,5.3,10.5,.506,.546,3.9,4.6,.836,0.6,3.7,4.4,4.2,1.9,0.0,2.6,4.2,23.6,111,110,,fournev01
32,Jordan Clarkson,23,LAL,SG,79,79,2552,9.3,21.6,.433,2.2,6.3,.347,7.2,15.3,.468,.483,3.2,4.0,.804,1.8,4.3,6.2,3.8,1.7,0.1,2.7,3.3,24.1,103,114,,clarkjo01
33,Rodney Hood,23,UTA,SG,79,79,2541,8.5,20.2,.420,3.3,9.3,.359,5.1,10.9,.472,.503,3.6,4.2,.860,0.8,4.8,5.5,4.4,1.5,0.3,2.6,4.2,23.9,109,107,,hoodro01
34,P.J. Tucker,30,PHO,SF,82,80,2540,4.6,11.2,.411,1.3,4.0,.330,3.3,7.2,.455,.469,2.0,2.7,.746,3.2,6.7,9.8,3.4,2.0,0.4,2.1,3.9,12.5,105,109,,tuckepj01
35,Rajon Rondo,29,SAC,PG,72,72,2537,6.7,14.8,.454,1.2,3.2,.365,5.5,11.6,.479,.494,1.6,2.8,.580,1.5,6.8,8.2,15.9,2.7,0.2,5.3,3.3,16.3,105,107,,rondora01
36,Avery Bradley,25,BOS,SG,76,72,2536,8.8,19.6,.447,2.8,7.8,.361,5.9,11.8,.505,.520,1.8,2.4,.780,0.9,3.3,4.2,3.0,2.2,0.4,2.1,3.2,22.2,105,106,DPOY-6DEF1,bradlav01
37,Carmelo Anthony,31,NYK,SF,72,72,2530,11.5,26.6,.434,2.1,6.3,.339,9.4,20.3,.463,.474,6.8,8.2,.829,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,107,107,AS,anthoca01
