"Player","Shooter_Cluster"
"James Harden","2"
"Gordon Hayward","2"
"Kemba Walker","2"
"Trevor Ariza","1"
"Marcus Morris","3"
"Khris Middleton","3"
"Kyle Lowry","2"
"Andrew Wiggins","3"
"Giannis Antetokounmpo","5"
"Paul George","2"
"Draymond Green","2"
"DeMar DeRozan","3"
"Kentavious Caldwell-Pope","1"
"John Wall","2"
"CJ McCollum","2"
"Russell Westbrook","2"
"Monta Ellis","2"
"LeBron James","2"
"Joe Johnson","2"
"Stephen Curry","2"
"Damian Lillard","2"
"Andre Drummond","4"
"Klay Thompson","3"
"Paul Millsap","3"
"Isaiah Thomas","2"
"Wesley Matthews","1"
"Al Horford","3"
"Karl-Anthony Towns","3"
"DeAndre Jordan","4"
"Kevin Durant","3"
"Evan Fournier","1"
"Jordan Clarkson","2"
"Rodney Hood","2"
"P.J. Tucker","1"
"Rajon Rondo","2"
"Avery Bradley","1"
"Carmelo Anthony","2"
"George Hill","1"
"Tobias Harris","3"
"Serge Ibaka","3"
"Jimmy Butler","3"
"Brook Lopez","3"
"Nicolas Batum","2"
"Gary Harris","1"
"Reggie Jackson","2"
"Kevin Love","3"
"Chris Paul","2"
"Jabari Parker","5"
"Thaddeus Young","3"
"Kyle Korver","1"
"Luol Deng","5"
"Kawhi Leonard","3"
"Victor Oladipo","2"
"Rudy Gay","3"
"Arron Afflalo","3"
"Dirk Nowitzki","3"
"Goran Dragić","2"
"J.R. Smith","1"
"Will Barton","2"
"Al-Farouq Aminu","1"
"Marvin Williams","1"
"Courtney Lee","1"
"Ricky Rubio","2"
"Greg Monroe","4"
"Jae Crowder","1"
"Zach LaVine","2"
"Pau Gasol","3"
"Julius Randle","5"
"Dwight Howard","4"
"Otto Porter Jr.","1"
"Evan Turner","3"
"Tristan Thompson","4"
"LaMarcus Aldridge","3"
"D'Angelo Russell","2"
"Dwyane Wade","3"
"Marcin Gortat","4"
"Jeff Teague","2"
"Jeff Green","3"
"DeMarcus Cousins","3"
"Ish Smith","2"
"Justise Winslow","5"
"Gorgui Dieng","5"
"Robin Lopez","4"
"Darren Collison","2"
"Raymond Felton","2"
"Matt Barnes","1"
"Anthony Davis","3"
"Hollis Thompson","1"
"Dion Waiters","1"
