Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,James Harden,26,HOU,SG,82,82,3125,.439,14.4,.594,.246,.124,.105,.120,.406,.494,.650,.328,.426,.402,.359,.181,.521,.011,16,.094,.274,0,0,MVP-9AS,hardeja01
2,Gordon Hayward,25,UTA,SF,80,80,2893,.433,13.6,.659,.209,.182,.128,.140,.341,.477,.622,.438,.409,.375,.349,.320,.797,.051,52,.234,.385,2,0,,haywago01
3,Kemba Walker,25,CHO,PG,81,81,2885,.427,14.8,.632,.250,.092,.091,.200,.368,.459,.598,.336,.380,.376,.371,.189,.599,.000,0,.106,.404,4,1,,walkeke02
4,Trevor Ariza,30,HOU,SF,81,81,2859,.416,16.2,.419,.255,.054,.035,.077,.581,.478,.594,.283,.267,.318,.371,.599,.914,.068,55,.415,.430,1,0,DPOY-13,arizatr01
5,Marcus Morris,26,DET,SF,80,80,2856,.434,15.0,.685,.158,.106,.213,.211,.315,.467,.671,.340,.383,.457,.362,.348,.926,.016,15,.285,.329,2,0,,morrima03
6,Khris Middleton,24,MIL,SG,79,79,2852,.444,15.2,.684,.146,.123,.189,.226,.316,.466,.635,.397,.440,.415,.396,.415,.888,.020,22,.224,.432,2,0,,middlkh01
7,Kyle Lowry,29,TOR,PG,77,77,2851,.427,15.6,.543,.216,.141,.070,.117,.457,.461,.602,.355,.357,.386,.388,.170,.684,.000,0,.101,.491,2,1,MVP-10DPOY-13ASNBA3,lowryky01
8,Andrew Wiggins,20,MIN,SF,81,81,2845,.459,10.9,.853,.321,.158,.132,.243,.147,.486,.648,.456,.386,.347,.300,.510,.825,.070,84,.158,.400,1,0,,wiggian01
9,Giannis Antetokounmpo,21,MIL,PG,80,79,2823,.506,7.5,.892,.509,.180,.058,.143,.108,.537,.684,.346,.288,.359,.257,.485,.821,.143,141,.321,.343,4,0,,antetgi01
10,Paul George,25,IND,SF,81,81,2819,.418,16.2,.609,.168,.081,.118,.242,.391,.447,.602,.415,.351,.397,.371,.319,.710,.024,32,.239,.415,0,0,ASNBA3DEF2,georgpa01
11,Draymond Green,25,GSW,PF,81,81,2808,.490,10.0,.685,.488,.144,.023,.029,.315,.537,.618,.339,.368,.292,.388,.618,.960,.061,47,.093,.417,1,0,MVP-7DPOY-2ASNBA2DEF1,greendr01
12,DeMar DeRozan,26,TOR,SG,78,78,2804,.446,11.2,.899,.226,.213,.214,.247,.101,.458,.630,.433,.415,.359,.338,.252,.830,.029,36,.424,.441,3,0,AS,derozde01
